,schoolid,name,address,city,state,phone,fax,principal
66,66,Angela Barnes Elementary School,190 Bailey Curve Spurs,West Garyton,MD,+12025550188,+12025550187,
67,67,Eric Perkins Elementary School,209 Matthew Trafficway Station,West Garyton,MD,+12025550105,+12025550137,
68,68,Holly Brown Elementary School,4163 Davis Harbors Mission,West Garyton,MD,+12025550188,+12025550191,
69,69,Tanya Knight Elementary School,14503 Daniel Highway Meadows,West Garyton,MD,+12025550137,+12025550188,
70,70,Dr. Julie Nelson DVM Elementary School,93470 Patrick Mountains Tunnel,West Garyton,MD,+12025550191,+12025550187,
71,71,Nicole Ryan Elementary School,5785 Jacob Ports Crossing,West Garyton,MD,+12025550105,+12025550188,
72,72,Margaret Brown Elementary School,3128 Dyer Forge Village,West Garyton,MD,+12025550105,+12025550188,
73,73,Wayne Fox DDS Elementary School,98415 Melissa Pines Junction,West Garyton,MD,+12025550187,+12025550191,
74,74,Jennifer Rodriguez Elementary School,17517 Gonzalez Manors Canyon,West Garyton,MD,+12025550137,+12025550105,
75,75,Melanie Mcmahon Elementary School,1908 Bell Cliff Mills,West Garyton,MD,+12025550105,+12025550188,
76,76,Julie Carter Elementary School,93192 Collins Isle Dale,West Garyton,MD,+12025550105,+12025550137,
77,77,Tyler Whitaker Elementary School,46045 Anthony Squares Fords,West Garyton,MD,+12025550105,+12025550191,
78,78,Kendra Bradley Elementary School,014 Smith Loop Walks,West Garyton,MD,+12025550188,+12025550137,
79,79,Joshua Carey Elementary School,028 Randy Burgs Valley,West Garyton,MD,+12025550188,+12025550187,
80,80,Aaron Jennings Elementary School,3497 Monica Motorway Camp,West Garyton,MD,+12025550187,+12025550137,
81,81,Melissa Williamson Elementary School,200 Suzanne Mall Oval,West Garyton,MD,+12025550187,+12025550137,
82,82,Rachel Acosta Elementary School,590 Sharon Estates Crest,West Garyton,MD,+12025550187,+12025550137,
83,83,Samuel Lara Elementary School,760 John Shores Summit,West Garyton,MD,+12025550188,+12025550191,
84,84,David Ball Elementary School,71702 Anna Glens Mission,West Garyton,MD,+12025550124,+12025550191,
85,85,Madison Smith Elementary School,99824 Benjamin Island Village,West Garyton,MD,+12025550188,+12025550187,
86,86,Kathleen Wilson Elementary School,18030 Christopher Plains Mission,West Garyton,MD,+12025550191,+12025550188,
87,87,Mr. Anthony Stevens Elementary School,1989 Gates Neck Via,West Garyton,MD,+12025550188,+12025550191,
88,88,Ashley Henry Elementary School,18136 Freeman Springs Station,West Garyton,MD,+12025550187,+12025550124,
89,89,Ellen Harper Elementary School,214 Williams Isle Mountains,West Garyton,MD,+12025550105,+12025550188,
90,90,Ryan Jensen Elementary School,2710 Karen Valleys Keys,West Garyton,MD,+12025550191,+12025550187,
91,91,Victoria Conrad Elementary School,580 James Island Fields,West Garyton,MD,+12025550187,+12025550191,
92,92,David Jefferson Elementary School,57266 Green Alley Summit,West Garyton,MD,+12025550188,+12025550191,
93,93,Andrew Stanley MD Elementary School,00263 Robert Cove Lodge,West Garyton,MD,+12025550105,+12025550191,
94,94,Michael Mccoy Elementary School,9288 Lonnie Causeway Parks,West Garyton,MD,+12025550105,+12025550191,
95,95,Rachel Adams Elementary School,2366 Zachary Overpass Ford,West Garyton,MD,+12025550105,+12025550191,
96,96,Taylor Diaz Elementary School,9391 Park Forge Way,West Garyton,MD,+12025550105,+12025550188,
97,97,Michael Morris Elementary School,1904 Berry Course Drives,West Garyton,MD,+12025550188,+12025550124,
98,98,Crystal Elliott Elementary School,96076 Ashley Junctions Causeway,West Garyton,MD,+12025550137,+12025550105,
99,99,Brenda Navarro Elementary School,824 Susan Spring Fords,West Garyton,MD,+12025550137,+12025550187,
100,100,Joseph Riddle Elementary School,84305 Douglas Forks Prairie,West Garyton,MD,+12025550124,+12025550188,
101,101,Bobby Tucker Elementary School,786 Heather Mill Burgs,West Garyton,MD,+12025550188,+12025550187,
102,102,Nicholas Smith Elementary School,6572 Julie Square Burgs,West Garyton,MD,+12025550191,+12025550105,
103,103,Sierra Butler Elementary School,439 Cruz Lakes Spur,West Garyton,MD,+12025550124,+12025550191,
104,104,Ronald Newman Elementary School,6854 Stephanie Curve Lake,West Garyton,MD,+12025550124,+12025550187,
105,105,Christina Gutierrez Elementary School,03985 Jessica Valley Pike,West Garyton,MD,+12025550124,+12025550191,
106,106,Stephanie Aguilar Elementary School,1314 William Bridge Shores,West Garyton,MD,+12025550105,+12025550188,
107,107,Scott Davis Elementary School,90817 Pineda Pine Fields,West Garyton,MD,+12025550137,+12025550191,
108,108,Amanda Quinn Elementary School,50004 Jon Causeway Turnpike,West Garyton,MD,+12025550124,+12025550191,
109,109,Morgan Davis Elementary School,303 Sean Island Throughway,West Garyton,MD,+12025550137,+12025550188,
110,110,Tony Sampson Elementary School,97778 Marcus Walk Crossing,West Garyton,MD,+12025550137,+12025550187,
111,111,Trevor Ferguson Elementary School,336 Lawson Lakes Freeway,West Garyton,MD,+12025550137,+12025550188,
112,112,Javier Jenkins Elementary School,335 Brandon Walks Dam,West Garyton,MD,+12025550187,+12025550124,
113,113,Jacob Bryant Elementary School,24114 Darlene Terrace Tunnel,West Garyton,MD,+12025550187,+12025550188,
114,114,Corey Bailey Elementary School,75216 Ian Street Gardens,West Garyton,MD,+12025550187,+12025550188,
115,115,Darlene Miller Elementary School,40595 Alvarez Dam Stream,West Garyton,MD,+12025550187,+12025550124,
116,116,Matthew Gray Elementary School,160 Lauren Well Burgs,West Garyton,MD,+12025550124,+12025550187,
